town,state,sentiment_score,number_of_posts,satisfaction_score,star_fill,x,y,score_valid
Gainesville, FL,0.163004957,3752,2.8,100,1,1,1
Gainesville, FL,0.163004957,3752,2.8,100,2,1,1
Gainesville, FL,0.163004957,3752,2.8,79.99999999999999,3,1,1
Gainesville, FL,0.163004957,3752,2.8,0,4,1,1
Gainesville, FL,0.163004957,3752,2.8,0,5,1,1
Maple Grove, MN,0.316688631,6201,3.1,100,1,1,1
Maple Grove, MN,0.316688631,6201,3.1,100,2,1,1
Maple Grove, MN,0.316688631,6201,3.1,100,3,1,1
Maple Grove, MN,0.316688631,6201,3.1,10.000000000000009,4,1,1
Maple Grove, MN,0.316688631,6201,3.1,0,5,1,1
Vanderbilt, PA,0.299163208,1272,3.1,100,1,1,1
Vanderbilt, PA,0.299163208,1272,3.1,100,2,1,1
Vanderbilt, PA,0.299163208,1272,3.1,100,3,1,1
Vanderbilt, PA,0.299163208,1272,3.1,10.000000000000009,4,1,1
Vanderbilt, PA,0.299163208,1272,3.1,0,5,1,1
Hermitage, TN,0.429276034,3263,3.4,100,1,1,1
Hermitage, TN,0.429276034,3263,3.4,100,2,1,1
Hermitage, TN,0.429276034,3263,3.4,100,3,1,1
Hermitage, TN,0.429276034,3263,3.4,39.99999999999999,4,1,1
Hermitage, TN,0.429276034,3263,3.4,0,5,1,1
Browerville, MN,0.1477375,96,2.8,100,1,1,1
Browerville, MN,0.1477375,96,2.8,100,2,1,1
Browerville, MN,0.1477375,96,2.8,79.99999999999999,3,1,1
Browerville, MN,0.1477375,96,2.8,0,4,1,1
Browerville, MN,0.1477375,96,2.8,0,5,1,1
Pleasanton, CA,0.361530711,6558,3.2,100,1,1,1
Pleasanton, CA,0.361530711,6558,3.2,100,2,1,1
Pleasanton, CA,0.361530711,6558,3.2,100,3,1,1
Pleasanton, CA,0.361530711,6558,3.2,20.000000000000018,4,1,1
Pleasanton, CA,0.361530711,6558,3.2,0,5,1,1
Magna, UT,0.370568641,574,3.3,100,1,1,1
Magna, UT,0.370568641,574,3.3,100,2,1,1
Magna, UT,0.370568641,574,3.3,100,3,1,1
Magna, UT,0.370568641,574,3.3,29.999999999999982,4,1,1
Magna, UT,0.370568641,574,3.3,0,5,1,1
Camas, WA,0.325954545,8624,3.2,100,1,1,1
Camas, WA,0.325954545,8624,3.2,100,2,1,1
Camas, WA,0.325954545,8624,3.2,100,3,1,1
Camas, WA,0.325954545,8624,3.2,20.000000000000018,4,1,1
Camas, WA,0.325954545,8624,3.2,0,5,1,1
Paynesville, MN,0.164173899,318,2.8,100,1,1,1
Paynesville, MN,0.164173899,318,2.8,100,2,1,1
Paynesville, MN,0.164173899,318,2.8,79.99999999999999,3,1,1
Paynesville, MN,0.164173899,318,2.8,0,4,1,1
Paynesville, MN,0.164173899,318,2.8,0,5,1,1
Barksdale Afb, LA,0.20592,15,2.9,100,1,1,1
Barksdale Afb, LA,0.20592,15,2.9,100,2,1,1
Barksdale Afb, LA,0.20592,15,2.9,89.99999999999999,3,1,1
Barksdale Afb, LA,0.20592,15,2.9,0,4,1,1
Barksdale Afb, LA,0.20592,15,2.9,0,5,1,1
Dalzell, SC,0.224881414,495,2.9,100,1,1,1
Dalzell, SC,0.224881414,495,2.9,100,2,1,1
Dalzell, SC,0.224881414,495,2.9,89.99999999999999,3,1,1
Dalzell, SC,0.224881414,495,2.9,0,4,1,1
Dalzell, SC,0.224881414,495,2.9,0,5,1,1
