town,state,sentiment_score,number_of_posts,satisfaction_score,score_valid
Gainesville, FL,0.16300495735607676,3752,2.7983,1
Maple Grove, MN,0.31668863086598936,6201,3.1452,1
Vanderbilt, PA,0.2991632075471698,1272,3.1057,1
Hermitage, TN,0.4292760343242415,3263,3.3992,1
Browerville, MN,0.1477375,96,2.7638,1
Pleasanton, CA,0.36153071058249464,6558,3.2462,1
Magna, UT,0.37056864111498256,574,3.2668,1
Camas, WA,0.32595454545454544,8624,3.1661,1
Paynesville, MN,0.1641738993710692,318,2.8011,1
Barksdale Afb, LA,0.20592,15,2.8951,1
Dalzell, SC,0.22488141414141413,495,2.938,1
Moundville, AL,0.17377777777777778,72,2.8227,1
Richmond, VA,0.2742795026338356,40815,3.0495,1
Delta, PA,0.29555313653136533,542,3.0975,1
Mars, PA,0.3025727047146402,3224,3.1133,1
Conestoga, PA,0.34974769585253457,868,3.2196,1
Rocky Mount, VA,0.33401315789473685,4256,3.1842,1
Tuskegee, AL,0.12062666666666666,45,2.7027,1
Arcata, CA,0.2192327913279133,369,2.9252,1
Batavia, OH,0.3912132075471698,53,3.3133,1
Carlinville, IL,n/a,0,2.4305,0
Pearland, TX,0.32172969432314413,229,3.1564,1
Wyoming, PA,0.3054350877192983,456,3.1197,1
Uvalde, TX,0.0,1,2.4305,1
Mifflintown, PA,0.281424,25,3.0655,1
Oakdale, MN,0.2741976893453145,779,3.0493,1
Sunset, SC,0.37188567567567565,370,3.2697,1
Hanceville, AL,0.2593215859030837,227,3.0156,1
Saline, MI,0.2857972972972973,37,3.0754,1
Rancho Mirage, CA,0.36595784323823255,9709,3.2564,1
West Dennis, MA,0.49519196578981467,7717,3.5479,1
Radnor, PA,0.396828,350,3.3259,1
Renfrew, PA,0.18089806451612903,310,2.8387,1
Pine, CO,0.35523571428571427,112,3.232,1
Carmel, IN,0.20133479452054795,365,2.8848,1
Malvern, PA,0.32133961697333835,2663,3.1555,1
New Boston, TX,n/a,0,2.4305,0
Kilkenny, MN,0.5209238095238096,126,3.6059,1
Le Sueur, MN,0.13001309523809523,84,2.7239,1
Coshocton, OH,0.1424,20,2.7519,1
South Houston, TX,n/a,0,2.4305,0
White Settlement, TX,0.33931279069767445,344,3.1962,1
Park City, KS,0.26274149722735674,1082,3.0233,1
Medford, OR,0.22761041666666662,48,2.9441,1
Udall, KS,0.09314444444444445,27,2.6406,1
La Porte, TX,0.3963255681818182,176,3.3248,1
Brooks, KY,0.03495504587155964,109,2.5095,1
Bastrop, LA,0.253280303030303,132,3.0021,1
Myrtle Beach, SC,0.4277548387096774,31,3.3958,1
Springfield, KY,0.3774941176470588,17,3.2823,1
Worthville, KY,0.2586482993197279,149,3.0141,1
Saratoga Springs, UT,0.2486351966873706,1449,2.9915,1
Islandton, SC,0.0,8,2.4305,1
Duluth, GA,0.25373409090909094,44,3.003,1
Jasper, AL,0.2866297198538368,2463,3.0772,1
Columbiana, AL,0.3921379679144385,187,3.3153,1
Haleyville, AL,0.1691688888888889,45,2.8123,1
White River Junction, VT,0.2164082304526749,486,2.9188,1
Tyrone, NM,0.126775,64,2.7167,1
Rices Landing, PA,0.0,18,2.4305,1
Wampum, PA,0.24317388059701492,268,2.9793,1
Mc Sherrystown, PA,0.2140747663551402,642,2.9136,1
Adrian, MN,0.0,2,2.4305,1
Hemet, CA,n/a,0,2.4305,0
Inverness, FL,0.09780714285714287,28,2.6512,1
Bothell, WA,0.2796918918918919,185,3.0617,1
Warren, TX,0.3351546827794562,662,3.1869,1
Centerville, OH,n/a,0,2.4305,0
Florence, KY,0.2793962962962963,5184,3.061,1
Tullahoma, TN,0.25153039215686274,102,2.998,1
Garrettsville, OH,-0.2787,2,1.8017,1
Irvington, KY,0.26331717693836976,2515,3.0247,1
Woodland Hills, UT,0.3777943488943489,407,3.283,1
Fallston, MD,0.31022,200,3.1305,1
Palm Springs, CA,0.17733480016148567,2477,2.8306,1
Alburtis, PA,0.23562448979591838,196,2.9622,1
Watkinsville, GA,0.3596782991202346,1023,3.2422,1
Quakertown, PA,0.33439844473245695,5401,3.1851,1
Harrisville, PA,0.24659837398373985,492,2.987,1
Northampton, PA,0.3027175359032502,2646,3.1136,1
West Orange, TX,n/a,0,2.4305,0
Hurricane, UT,0.1826408376963351,764,2.8426,1
Garfield, KY,0.10403124999999999,16,2.6652,1
Whitewater, KS,0.18075555555555556,54,2.8385,1
Santa Paula, CA,0.29895627906976746,2150,3.1052,1
Jersey City, NJ,0.3505464705882353,170,3.2214,1
Fountain Inn, SC,0.24212103649187366,3261,2.9768,1
Equality, AL,0.10514583333333333,24,2.6677,1
Windom, MN,0.24150350877192983,114,2.9755,1
Yoncalla, OR,0.17758,50,2.8313,1
Akron, PA,0.6204796875,128,3.8307,1
Aurora, IL,0.2135555172413793,290,2.9125,1
Antioch, TN,0.24783699610856116,40088,2.9897,1
Chester, PA,0.2413149526607901,6130,2.975,1
Rossiter, PA,n/a,0,2.4305,0
Ruffs Dale, PA,0.4422916666666667,96,3.4286,1
La Habra, CA,0.19418372093023256,430,2.8687,1
Senoia, GA,0.3667789667896679,271,3.2582,1
Hanna City, IL,0.13579782608695654,46,2.737,1
Redding, CA,0.004282758620689669,116,2.4403,1
Independence, KS,0.21989450261780105,3820,2.9267,1
Cranston, RI,0.28412799046740467,13008,3.0716,1
Darlington, SC,0.26705993788819876,322,3.0332,1
Titusville, FL,0.24956666666666666,36,2.9938,1
Salem, VA,0.2696210116731517,2056,3.0389,1
Amity, PA,0.12894714285714284,140,2.7214,1
Aspinwall, PA,0.33466326530612245,98,3.1858,1
Berwyn, PA,0.3359221698113207,424,3.1885,1
Clearwater, FL,0.3689418544334576,6169,3.2629,1
Baytown, TX,0.2518037414965986,2940,2.9987,1
Wellsboro, PA,0.017456521739130433,46,2.47,1
Branchburg, NJ,0.35325720653789006,3365,3.2277,1
Crafton, PA,0.18549,160,2.8491,1
Mahomet, IL,0.3715076433121019,1884,3.2688,1
Lindstrom, MN,0.24918300970873786,206,2.9928,1
Westworth Village, TX,0.3503,30,3.221,1
Jeffersonville, IN,0.2811312101910828,157,3.0648,1
Coalville, UT,n/a,0,2.4305,0
Urbana, IL,0.23472920203735145,589,2.9601,1
Williamstown, KY,0.29030464933018124,1269,3.0856,1
Bethune, SC,0.164925,4,2.8026,1
Northport, AL,0.34163576119402983,10052,3.2013,1
Vestavia Hills, AL,0.26739928315412187,1395,3.0339,1
Moulton, AL,0.3813375,8,3.2909,1
Blairs Mills, PA,n/a,0,2.4305,0
Herndon, PA,0.22464854586129754,2682,2.9373,1
Myerstown, PA,0.33792537313432836,938,3.193,1
Honey Brook, PA,0.24108401253918496,638,2.9746,1
Fairfax, VA,0.328740748913868,14501,3.1722,1
Pasadena, TX,-0.004300000000000002,118,2.4208,1
West Yarmouth, MA,0.13976106800022994,17397,2.746,1
New Hope, MN,0.258676401179941,2712,3.0143,1
Lehigh Acres, FL,0.07378888888888888,72,2.5971,1
Auburn, KY,0.26338284671532847,274,3.0249,1
Lewisport, KY,0.10794545454545455,11,2.674,1
Kennewick, WA,0.43813888888888886,54,3.4191,1
Eureka, CA,0.22655465313028766,2955,2.9419,1
Fuquay Varina, NC,0.44225581395348834,43,3.4286,1
Boiling Springs, SC,0.19979211434204042,2029,2.8814,1
Kennesaw, GA,0.25478740920096854,413,3.0055,1
Woodstock, MD,0.5898166666666667,78,3.7614,1
Corpus Christi, TX,0.23309710005191722,26966,2.9565,1
Ellwood City, PA,0.1630423398328691,1436,2.7983,1
Forest City, PA,0.1683048888888889,450,2.8103,1
Suwanee, GA,0.2892171875,3456,3.0831,1
Damascus, PA,0.19124786324786325,234,2.862,1
Indian Creek, IL,0.28483429203539823,452,3.0732,1
Lansing, IL,0.28092234375,1280,3.0644,1
Blaine, MN,0.24504776602633283,4633,2.9834,1
Conneaut, OH,0.185972972972973,37,2.8502,1
Wimberley, TX,0.2760218322866642,2707,3.0533,1
Weems, VA,0.33927539432176657,634,3.1962,1
Lawton, MI,n/a,0,2.4305,0
Milford, KS,-0.0025,4,2.4249,1
Brooksville, KY,0.38896129032258064,31,3.3083,1
Claysville, PA,0.12295350318471338,157,2.7081,1
Waukesha, WI,0.32904903225806453,155,3.1729,1
Gay, GA,0.24691549295774648,71,2.9877,1
Van Vleck, TX,0.2082,13,2.9003,1
Chesnee, SC,0.23079060109289617,915,2.9513,1
Mobile, AL,0.27266241610738257,40827,3.0459,1
Canastota, NY,0.2584877551020408,98,3.0138,1
New Fairfield, CT,n/a,0,2.4305,0
Solway, MN,n/a,0,2.4305,0
Falls Church, VA,0.3162474010973145,6927,3.144,1
Brentwood, TN,0.26688349317210464,19186,3.0328,1
Bentonville, AR,0.2503390036776998,29910,2.9953,1
Dalton, PA,0.135896,700,2.7372,1
East Freedom, PA,0.6410583333333334,48,3.8771,1
Haverford, PA,0.44554285714285713,434,3.4358,1
White Lake, MI,0.2403050254916242,4119,2.9728,1
Aitkin, MN,0.29816735833998403,1253,3.1034,1
Garland, TX,0.39286767676767675,297,3.3171,1
Oakland, KY,0.16808046875,128,2.8099,1
Lawrenceville, NJ,0.3059137339055794,466,3.1208,1
