town,state,sentiment_score,number_of_posts,satisfaction_score,pie_sector_label
Gainesville, FL,0.16300495735607676,3752,2.8,fill
Gainesville, FL,0.16300495735607676,3752,2.2,blank
Maple Grove, MN,0.31668863086598936,6201,3.1,fill
Maple Grove, MN,0.31668863086598936,6201,1.9,blank
Vanderbilt, PA,0.2991632075471698,1272,3.1,fill
Vanderbilt, PA,0.2991632075471698,1272,1.9,blank
Hermitage, TN,0.4292760343242415,3263,3.4,fill
Hermitage, TN,0.4292760343242415,3263,1.6,blank
Browerville, MN,0.1477375,96,2.8,fill
Browerville, MN,0.1477375,96,2.2,blank
Pleasanton, CA,0.36153071058249464,6558,3.2,fill
Pleasanton, CA,0.36153071058249464,6558,1.7999999999999998,blank
Magna, UT,0.37056864111498256,574,3.3,fill
Magna, UT,0.37056864111498256,574,1.7000000000000002,blank
Camas, WA,0.32595454545454544,8624,3.2,fill
Camas, WA,0.32595454545454544,8624,1.7999999999999998,blank
Paynesville, MN,0.1641738993710692,318,2.8,fill
Paynesville, MN,0.1641738993710692,318,2.2,blank
Barksdale Afb, LA,0.20592,15,2.9,fill
Barksdale Afb, LA,0.20592,15,2.1,blank
Dalzell, SC,0.22488141414141413,495,2.9,fill
Dalzell, SC,0.22488141414141413,495,2.1,blank
Moundville, AL,0.17377777777777778,72,2.8,fill
Moundville, AL,0.17377777777777778,72,2.2,blank
Richmond, VA,0.2742795026338356,40815,3.0,fill
Richmond, VA,0.2742795026338356,40815,2.0,blank
Delta, PA,0.29555313653136533,542,3.1,fill
Delta, PA,0.29555313653136533,542,1.9,blank
Mars, PA,0.3025727047146402,3224,3.1,fill
Mars, PA,0.3025727047146402,3224,1.9,blank
Conestoga, PA,0.34974769585253457,868,3.2,fill
Conestoga, PA,0.34974769585253457,868,1.7999999999999998,blank
Rocky Mount, VA,0.33401315789473685,4256,3.2,fill
Rocky Mount, VA,0.33401315789473685,4256,1.7999999999999998,blank
Tuskegee, AL,0.12062666666666666,45,2.7,fill
Tuskegee, AL,0.12062666666666666,45,2.3,blank
Arcata, CA,0.2192327913279133,369,2.9,fill
Arcata, CA,0.2192327913279133,369,2.1,blank
Batavia, OH,0.3912132075471698,53,3.3,fill
Batavia, OH,0.3912132075471698,53,1.7000000000000002,blank
Pearland, TX,0.32172969432314413,229,3.2,fill
Pearland, TX,0.32172969432314413,229,1.7999999999999998,blank
Wyoming, PA,0.3054350877192983,456,3.1,fill
Wyoming, PA,0.3054350877192983,456,1.9,blank
Uvalde, TX,0.0,1,2.4,fill
Uvalde, TX,0.0,1,2.6,blank
Mifflintown, PA,0.281424,25,3.1,fill
Mifflintown, PA,0.281424,25,1.9,blank
Oakdale, MN,0.2741976893453145,779,3.0,fill
Oakdale, MN,0.2741976893453145,779,2.0,blank
Sunset, SC,0.37188567567567565,370,3.3,fill
Sunset, SC,0.37188567567567565,370,1.7000000000000002,blank
Hanceville, AL,0.2593215859030837,227,3.0,fill
Hanceville, AL,0.2593215859030837,227,2.0,blank
Saline, MI,0.2857972972972973,37,3.1,fill
Saline, MI,0.2857972972972973,37,1.9,blank
Rancho Mirage, CA,0.36595784323823255,9709,3.3,fill
Rancho Mirage, CA,0.36595784323823255,9709,1.7000000000000002,blank
West Dennis, MA,0.49519196578981467,7717,3.5,fill
West Dennis, MA,0.49519196578981467,7717,1.5,blank
Radnor, PA,0.396828,350,3.3,fill
Radnor, PA,0.396828,350,1.7000000000000002,blank
Renfrew, PA,0.18089806451612903,310,2.8,fill
