town,score,number_of_posts
"Gainesville, FL",0.16300495735607676,3752
"Maple Grove, MN",0.31668863086598936,6201
"Vanderbilt, PA",0.2991632075471698,1272
"Hermitage, TN",0.4292760343242415,3263
"Browerville, MN",0.1477375,96
"Pleasanton, CA",0.36153071058249464,6558
"Magna, UT",0.37056864111498256,574
"Camas, WA",0.32595454545454544,8624
"Paynesville, MN",0.1641738993710692,318
"Barksdale Afb, LA",0.20592,15
"Dalzell, SC",0.22488141414141413,495
"Moundville, AL",0.17377777777777778,72
"Richmond, VA",0.2742795026338356,40815
"Delta, PA",0.29555313653136533,542
"Mars, PA",0.3025727047146402,3224
"Conestoga, PA",0.34974769585253457,868
"Rocky Mount, VA",0.33401315789473685,4256
"Tuskegee, AL",0.12062666666666666,45
"Arcata, CA",0.2192327913279133,369
"Batavia, OH",0.3912132075471698,53
"Carlinville, IL",n/a,0
"Pearland, TX",0.32172969432314413,229
"Wyoming, PA",0.3054350877192983,456
"Uvalde, TX",0.0,1
"Mifflintown, PA",0.281424,25
"Oakdale, MN",0.2741976893453145,779
"Sunset, SC",0.37188567567567565,370
"Hanceville, AL",0.2593215859030837,227
"Saline, MI",0.2857972972972973,37
"Rancho Mirage, CA",0.36595784323823255,9709
"West Dennis, MA",0.49519196578981467,7717
"Radnor, PA",0.396828,350
"Renfrew, PA",0.18089806451612903,310
"Pine, CO",0.35523571428571427,112
"Carmel, IN",0.20133479452054795,365
"Malvern, PA",0.32133961697333835,2663
"New Boston, TX",n/a,0
"Kilkenny, MN",0.5209238095238096,126
"Le Sueur, MN",0.13001309523809523,84
"Coshocton, OH",0.1424,20
"South Houston, TX",n/a,0
"White Settlement, TX",0.33931279069767445,344
"Park City, KS",0.26274149722735674,1082
"Medford, OR",0.22761041666666662,48
"Udall, KS",0.09314444444444445,27
"La Porte, TX",0.3963255681818182,176
"Brooks, KY",0.03495504587155964,109
"Bastrop, LA",0.253280303030303,132
"Myrtle Beach, SC",0.4277548387096774,31
"Springfield, KY",0.3774941176470588,17
"Worthville, KY",0.2586482993197279,149
"Saratoga Springs, UT",0.2486351966873706,1449
"Islandton, SC",0.0,8
"Duluth, GA",0.25373409090909094,44
"Jasper, AL",0.2866297198538368,2463
"Columbiana, AL",0.3921379679144385,187
"Haleyville, AL",0.1691688888888889,45
"White River Junction, VT",0.2164082304526749,486
"Tyrone, NM",0.126775,64
"Rices Landing, PA",0.0,18
"Wampum, PA",0.24317388059701492,268
"Mc Sherrystown, PA",0.2140747663551402,642
"Adrian, MN",0.0,2
"Hemet, CA",n/a,0
"Inverness, FL",0.09780714285714287,28
"Bothell, WA",0.2796918918918919,185
"Warren, TX",0.3351546827794562,662
"Centerville, OH",n/a,0
"Florence, KY",0.2793962962962963,5184
"Tullahoma, TN",0.25153039215686274,102
"Garrettsville, OH",-0.2787,2
"Irvington, KY",0.26331717693836976,2515
"Woodland Hills, UT",0.3777943488943489,407
"Fallston, MD",0.31022,200
"Palm Springs, CA",0.17733480016148567,2477
"Alburtis, PA",0.23562448979591838,196
"Watkinsville, GA",0.3596782991202346,1023
"Quakertown, PA",0.33439844473245695,5401
"Harrisville, PA",0.24659837398373985,492
"Northampton, PA",0.3027175359032502,2646
"West Orange, TX",n/a,0
"Hurricane, UT",0.1826408376963351,764
"Garfield, KY",0.10403124999999999,16
"Whitewater, KS",0.18075555555555556,54
"Santa Paula, CA",0.29895627906976746,2150
"Jersey City, NJ",0.3505464705882353,170
"Fountain Inn, SC",0.24212103649187366,3261
"Equality, AL",0.10514583333333333,24
"Windom, MN",0.24150350877192983,114
"Yoncalla, OR",0.17758,50
"Akron, PA",0.6204796875,128
"Aurora, IL",0.2135555172413793,290
"Antioch, TN",0.24783699610856116,40088
"Chester, PA",0.2413149526607901,6130
"Rossiter, PA",n/a,0
"Ruffs Dale, PA",0.4422916666666667,96
"La Habra, CA",0.19418372093023256,430
"Senoia, GA",0.3667789667896679,271
"Hanna City, IL",0.13579782608695654,46
"Redding, CA",0.004282758620689669,116
"Independence, KS",0.21989450261780105,3820
"Cranston, RI",0.28412799046740467,13008
"Darlington, SC",0.26705993788819876,322
"Titusville, FL",0.24956666666666666,36
"Salem, VA",0.2696210116731517,2056
"Amity, PA",0.12894714285714284,140
"Aspinwall, PA",0.33466326530612245,98
"Berwyn, PA",0.3359221698113207,424
"Clearwater, FL",0.3689418544334576,6169
"Baytown, TX",0.2518037414965986,2940
"Wellsboro, PA",0.017456521739130433,46
"Branchburg, NJ",0.35325720653789006,3365
"Crafton, PA",0.18549,160
"Mahomet, IL",0.3715076433121019,1884
"Lindstrom, MN",0.24918300970873786,206
"Westworth Village, TX",0.3503,30
"Jeffersonville, IN",0.2811312101910828,157
"Coalville, UT",n/a,0
"Urbana, IL",0.23472920203735145,589
"Williamstown, KY",0.29030464933018124,1269
"Bethune, SC",0.164925,4
